districts,raw_github_locs
Ahmadnagar,https://raw.githubusercontent.com/vinits5/saral_ml/main/datasets/mh_villages/Ahmadnagar.json
Akola,https://raw.githubusercontent.com/vinits5/saral_ml/main/datasets/mh_villages/Akola.json
Amravati,https://raw.githubusercontent.com/vinits5/saral_ml/main/datasets/mh_villages/Amravati.json
Aurangabad,https://raw.githubusercontent.com/vinits5/saral_ml/main/datasets/mh_villages/Aurangabad.json
Beed,https://raw.githubusercontent.com/vinits5/saral_ml/main/datasets/mh_villages/Beed.json
Bhandara,https://raw.githubusercontent.com/vinits5/saral_ml/main/datasets/mh_villages/Bhandara.json
Buldana,https://raw.githubusercontent.com/vinits5/saral_ml/main/datasets/mh_villages/Buldana.json
Chandrapur,https://raw.githubusercontent.com/vinits5/saral_ml/main/datasets/mh_villages/Chandrapur.json
Dhule,https://raw.githubusercontent.com/vinits5/saral_ml/main/datasets/mh_villages/Dhule.json
Gadchiroli,https://raw.githubusercontent.com/vinits5/saral_ml/main/datasets/mh_villages/Gadchiroli.json
Gondia,https://raw.githubusercontent.com/vinits5/saral_ml/main/datasets/mh_villages/Gondia.json
Hingoli,https://raw.githubusercontent.com/vinits5/saral_ml/main/datasets/mh_villages/Hingoli.json
Jalgaon,https://raw.githubusercontent.com/vinits5/saral_ml/main/datasets/mh_villages/Jalgaon.json
Jalna,https://raw.githubusercontent.com/vinits5/saral_ml/main/datasets/mh_villages/Jalna.json
Kolhapur,https://raw.githubusercontent.com/vinits5/saral_ml/main/datasets/mh_villages/Kolhapur.json
Latur,https://raw.githubusercontent.com/vinits5/saral_ml/main/datasets/mh_villages/Latur.json
Nagpur,https://raw.githubusercontent.com/vinits5/saral_ml/main/datasets/mh_villages/Nagpur.json
Nanded,https://raw.githubusercontent.com/vinits5/saral_ml/main/datasets/mh_villages/Nanded.json
Nandurbar,https://raw.githubusercontent.com/vinits5/saral_ml/main/datasets/mh_villages/Nandurbar.json
Nasik,https://raw.githubusercontent.com/vinits5/saral_ml/main/datasets/mh_villages/Nasik.json
Osmanabad,https://raw.githubusercontent.com/vinits5/saral_ml/main/datasets/mh_villages/Osmanabad.json
Palghar,https://raw.githubusercontent.com/vinits5/saral_ml/main/datasets/mh_villages/Palghar.json
Parbhani,https://raw.githubusercontent.com/vinits5/saral_ml/main/datasets/mh_villages/Parbhani.json
Pune,https://raw.githubusercontent.com/vinits5/saral_ml/main/datasets/mh_villages/Pune.json
Raigad,https://raw.githubusercontent.com/vinits5/saral_ml/main/datasets/mh_villages/Raigad.json
Ratnagiri,https://raw.githubusercontent.com/vinits5/saral_ml/main/datasets/mh_villages/Ratnagiri.json
Sangali,https://raw.githubusercontent.com/vinits5/saral_ml/main/datasets/mh_villages/Sangali.json
Satara,https://raw.githubusercontent.com/vinits5/saral_ml/main/datasets/mh_villages/Satara.json
Sindhudurg,https://raw.githubusercontent.com/vinits5/saral_ml/main/datasets/mh_villages/Sindhudurg.json
Solapur,https://raw.githubusercontent.com/vinits5/saral_ml/main/datasets/mh_villages/Solapur.json
Thane,https://raw.githubusercontent.com/vinits5/saral_ml/main/datasets/mh_villages/Thane.json
Wardha,https://raw.githubusercontent.com/vinits5/saral_ml/main/datasets/mh_villages/Wardha.json
Washim,https://raw.githubusercontent.com/vinits5/saral_ml/main/datasets/mh_villages/Washim.json
Yavatmal,https://raw.githubusercontent.com/vinits5/saral_ml/main/datasets/mh_villages/Yavatmal.json
